"","Gene_name","Description","log2FC_male-female","q-value"
"2223","SRP9","Signal recognition particle 9 kDa protein",-0.0745054589127534,0.404398983048311
"2224","MTR","Methionine synthase",-0.0746274828135256,0.529984635471978
"2225","RAB18","Ras-related protein Rab-18",-0.0747202306382189,0.520193364923672
"2226","ACADS","Short-chain specific acyl-CoA dehydrogenase, mitochondrial",-0.0752728497821078,0.600877875187085
"2227","POTEI","POTE ankyrin domain family member I",-0.0753432800432066,0.520193364923672
"2228","FLG2","Filaggrin-2",-0.0753677028345905,0.621258073341029
"2229","USP47","Ubiquitin carboxyl-terminal hydrolase 47",-0.0759201654606265,0.450485963951101
"2230","KARS1","Lysine--tRNA ligase",-0.0762391147007992,0.322032861888969
"2231","GDE1","Glycerophosphodiester phosphodiesterase 1",-0.077363657600884,0.56607146699085
"2232","APOA4","Apolipoprotein A-IV",-0.0775519843788146,0.523383024854252
"2233","FBN1","Fibrillin-1",-0.0785063634077616,0.632166551987911
"2234","COL6A1","Collagen alpha-1(VI) chain",-0.078566822142653,0.519183668304986
"2235","P4HA1","Prolyl 4-hydroxylase subunit alpha-1",-0.0787127564667163,0.569739291884684
"2236","AKR1C2","Aldo-keto reductase family 1 member C2",-0.0790720797106506,0.592606903804535
"2237","UCHL5","Ubiquitin carboxyl-terminal hydrolase isozyme L5",-0.0792391433416046,0.635406938668771
"2238","EPN1","Epsin-1",-0.0797168354019568,0.558267037537004
"2239","TXN","Thioredoxin",-0.0799914123897558,0.436138989440086
"2240","SEC22B","Vesicle-trafficking protein SEC22b",-0.0804432605299592,0.396291687828081
"2241","SETD3","Actin-histidine N-methyltransferase",-0.0809892463205575,0.54502304471538
"2242","EMC8","ER membrane protein complex subunit 8",-0.081063592011752,0.551272634257972
"2243","ITIH1","Inter-alpha-trypsin inhibitor heavy chain H1",-0.0815470054237419,0.543518808636799
"2244","NADK2","NAD kinase 2, mitochondrial",-0.0821503478374694,0.379077844931045
"2245","LMNB1","Lamin-B1",-0.0826129685647157,0.609296805577891
"2246","RAB1B","Ras-related protein Rab-1B",-0.0837512880549198,0.404066021069232
"2247","BCAP31","B-cell receptor-associated protein 31",-0.0839917248379241,0.40115417944649
"2248","CBFB","Core-binding factor subunit beta",-0.0841810173761193,0.583871219693944
"2249","JPT2","Jupiter microtubule associated homolog 2",-0.0842800939487276,0.520170506752919
"2250","PHYH","Phytanoyl-CoA dioxygenase, peroxisomal",-0.0848411122068899,0.54502304471538
"2251","CCAR2","Cell cycle and apoptosis regulator protein 2",-0.0848427739085782,0.531379602285511
"2252","PPCDC","Phosphopantothenoylcysteine decarboxylase",-0.0850321213515599,0.570881103261348
"2253","MAN2C1","Alpha-mannosidase 2C1",-0.0851478421801062,0.403990657810593
"2254","CD93","Complement component C1q receptor",-0.0852773134429814,0.592290404597245
"2255","NLN","Neurolysin, mitochondrial",-0.0859122135276706,0.361750373546728
"2256","NEK7","Serine/threonine-protein kinase Nek7",-0.08592936094119,0.466277940142492
"2257","TPM1","Tropomyosin alpha-1 chain",-0.0859348346661868,0.486205731213877
"2258","COPG1","Coatomer subunit gamma-1",-0.0860903836244269,0.51662079591633
"2259","CD99L2","CD99 antigen-like protein 2",-0.0864380615404077,0.559062024270807
"2260","CLEC3B","Tetranectin",-0.0866567451424469,0.492681376568829
"2261","PITPNA","Phosphatidylinositol transfer protein alpha isoform",-0.0867168214306968,0.347671982246016
"2262","SLC27A1","Long-chain fatty acid transport protein 1",-0.0869327365931589,0.379247584935492
"2263","COL4A2","Collagen alpha-2(IV) chain",-0.0872342709626501,0.580949256992516
"2264","ATG4B","Cysteine protease ATG4B",-0.0876056386160808,0.481167024126379
"2265","LSM2","U6 snRNA-associated Sm-like protein LSm2",-0.0876561209646027,0.47740022160549
"2266","CST3","Cystatin-C",-0.0885131851338965,0.547817233688849
"2267","DENR","Density-regulated protein",-0.0885183143207584,0.447645991610453
"2268","COL6A3","Collagen alpha-3(VI) chain",-0.0890051729735575,0.481167024126379
"2269","MTCH2","Mitochondrial carrier homolog 2",-0.0890438585910012,0.466063711002229
"2270","SNAP29","Synaptosomal-associated protein 29",-0.0892476543678118,0.511523674638285
"2271","GNB1","Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1",-0.0893544123253047,0.404252319944641
"2272","MAP3K20","Mitogen-activated protein kinase kinase kinase 20",-0.089622991730284,0.434946708145277
"2273","B3GLCT","Beta-1,3-glucosyltransferase",-0.0897176220486671,0.538404962920641
"2274","TMOD1","Tropomodulin-1",-0.089889033912506,0.455049642266834
"2275","CACNG1","Voltage-dependent calcium channel gamma-1 subunit",-0.0900644378141244,0.543937077725126
"2276","TMED10","Transmembrane emp24 domain-containing protein 10",-0.0901709830248514,0.251449665512862
"2277","TFG","Protein TFG",-0.0904747962710086,0.498913078977472
"2278","SH3GLB1","Endophilin-B1",-0.0905108460651736,0.313955259992124
"2279","ITGAV","Integrin alpha-V",-0.0908903064607003,0.520170506752919
"2280","PLBD2","Putative phospholipase B-like 2",-0.0910941526616398,0.559062024270807
"2281","SYNE2","Nesprin-2",-0.0912630113436421,0.286505030983822
"2282","PSPH","Phosphoserine phosphatase",-0.0915417915620029,0.517474128305904
"2283","PCYOX1","Prenylcysteine oxidase 1",-0.0918461865019502,0.401403948115554
"2284","SSR1","Translocon-associated protein subunit alpha",-0.0923731963653331,0.583871219693944
"2285","BZW2","eIF5-mimic protein 1",-0.0924831709832468,0.33449278811375
"2286","HEXB","Beta-hexosaminidase subunit beta",-0.0925967162221184,0.535598196835375
"2287","NCK1","Cytoplasmic protein NCK1",-0.0926437694784017,0.469412740754678
"2288","CAT","Catalase",-0.0932453295455513,0.533393210100335
"2289","FAU","FAU ubiquitin-like and ribosomal protein S30",-0.093728552758316,0.560397122355937
"2290","ANXA1","Annexin A1",-0.0940712236581973,0.507650895680724
"2291","PPP3CB","Serine/threonine-protein phosphatase 2B catalytic subunit beta isoform",-0.0945893973751133,0.539270697762702
"2292","REXO2","Oligoribonuclease, mitochondrial",-0.094734892221723,0.54842457707473
"2293","MMAB","Corrinoid adenosyltransferase MMAB",-0.0948817164181612,0.524395834714313
"2294","AFM","Afamin",-0.0954597106988562,0.573251214578429
"2295","NDUFB5","NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 5, mitochondrial",-0.0954856966385247,0.481200058935361
"2296","APOB","Apolipoprotein B-100",-0.0955057714131975,0.42811781516919
"2297","METAP1","Methionine aminopeptidase 1",-0.0955334238784147,0.442516783564738
"2298","KBTBD12","Kelch repeat and BTB domain-containing protein 12",-0.0955524712848383,0.524395834714313
"2299","NOSIP","Nitric oxide synthase-interacting protein",-0.0958551170749686,0.569739291884684
"2300","CUL5","Cullin-5",-0.0971602274408063,0.178306138659226
"2301","FAM120A","Constitutive coactivator of PPAR-gamma-like protein 1",-0.0971635753259115,0.392290813762872
"2302","MKRN2","E3 ubiquitin-protein ligase makorin-2",-0.0974952032339953,0.44781906694492
"2303","RRAS","Ras-related protein R-Ras",-0.0975458168029419,0.361053291061381
"2304","ABCC1","Multidrug resistance-associated protein 1",-0.0976610034809369,0.533710923223659
"2305","LRRC2","Leucine-rich repeat-containing protein 2",-0.0979567853522259,0.507650895680724
"2306","MYOM1","Myomesin-1",-0.0984113227195955,0.253830515707326
"2307","STRN","Striatin",-0.0988700540072003,0.547325168033487
"2308","ILK","Integrin-linked protein kinase",-0.0991675155775056,0.302036984253865
"2309","NNT","NAD(P) transhydrogenase, mitochondrial",-0.0991684229254979,0.493707232079835
"2310","COPB1","Coatomer subunit beta",-0.0991872524649651,0.400919694847195
"2311","OBSCN","Obscurin",-0.0996843731509216,0.404252319944641
"2312","POLG","DNA polymerase subunit gamma-1",-0.0997539468828794,0.570881103261348
"2313","APCS","Serum amyloid P-component",-0.10005684862629,0.489952857002676
"2314","ANXA3","Annexin A3",-0.100200915055749,0.468117193883276
"2315","GMFB","Glia maturation factor beta",-0.10023037704217,0.563078997734949
"2316","UBFD1","Ubiquitin domain-containing protein UBFD1",-0.100498295543089,0.529468986623254
"2317","ANK2","Ankyrin-2",-0.100935760939342,0.444045944736929
"2318","RNF181","E3 ubiquitin-protein ligase RNF181",-0.101128987188075,0.538415700590773
"2319","EPM2A","Laforin",-0.101423180051594,0.405150920051286
"2320","NUP43","Nucleoporin Nup43",-0.10213563133245,0.429027073569894
"2321","MYOM2","Myomesin-2",-0.102237241443479,0.363468477603551
"2322","ERP29","Endoplasmic reticulum resident protein 29",-0.102249842445961,0.39711971335571
"2323","SERPINB9","Serpin B9",-0.102383631002724,0.512216943420789
"2324","SGTA","Small glutamine-rich tetratricopeptide repeat-containing protein alpha",-0.102584639235529,0.391044788493884
"2325","GOLGA3","Golgin subfamily A member 3",-0.10273271054311,0.486205731213877
"2326","DYSF","Dysferlin",-0.103107175326681,0.333918185509534
"2327","PPP6R1","Serine/threonine-protein phosphatase 6 regulatory subunit 1",-0.104047541763054,0.528031906839363
"2328","PLIN5","Perilipin-5",-0.104264906125634,0.574522356213922
"2329","DYNLT1","Dynein light chain Tctex-type 1",-0.104449778535812,0.529984635471978
"2330","OPTN","Optineurin",-0.104612120646566,0.341889379061011
"2331","NEDD4","E3 ubiquitin-protein ligase NEDD4",-0.104671369752458,0.51662079591633
"2332","NIBAN1","Protein Niban 1",-0.104864349639227,0.57761198339343
"2333","SEPTIN9","Septin-9",-0.104880518553001,0.564077059106622
"2334","SCARB2","Lysosome membrane protein 2",-0.105002125441336,0.379200966751598
"2335","ADAL","Adenosine deaminase-like protein",-0.105098286262802,0.4874309315843
"2336","UBAC1","Ubiquitin-associated domain-containing protein 1",-0.105183583223228,0.327750784498986
"2337","MSRB3","Methionine-R-sulfoxide reductase B3",-0.105220828744709,0.404114088202417
"2338","S100A10","Protein S100-A10",-0.105564156867894,0.447645991610453
"2339","SUGT1","Protein SGT1 homolog",-0.105858109453964,0.331966178147257
"2340","MAT2A","S-adenosylmethionine synthase isoform type-2",-0.106240390263785,0.368693867644874
"2341","SPCS2","Signal peptidase complex subunit 2",-0.106316276847016,0.439800967191844
"2342","DNPH1","2'-deoxynucleoside 5'-phosphate N-hydrolase 1",-0.106603184705598,0.466277940142492
"2343","IGHA1","Immunoglobulin heavy constant alpha 1",-0.106731307786655,0.603483687495827
"2344","BST2","Bone marrow stromal antigen 2",-0.1067401227437,0.560397122355937
"2345","MYL4","Myosin light chain 4",-0.106983730206737,0.600877875187085
"2346","TBC1D15","TBC1 domain family member 15",-0.107221003085256,0.379415881616443
"2347","GCLC","Glutamate--cysteine ligase catalytic subunit",-0.107438224501063,0.434946708145277
"2348","STARD7","StAR-related lipid transfer protein 7, mitochondrial",-0.10749783369722,0.373843055711503
"2349","AIP","AH receptor-interacting protein",-0.10752918241465,0.559062024270807
"2350","TMEM109","Transmembrane protein 109",-0.107645773301302,0.393833302221806
"2351","DBN1","Drebrin",-0.107716718806644,0.589285670527812
"2352","EFTUD2","116 kDa U5 small nuclear ribonucleoprotein component",-0.107902630245549,0.439942810655147
"2353","NONO","Non-POU domain-containing octamer-binding protein",-0.10792718454544,0.51208385510182
"2354","RASA3","Ras GTPase-activating protein 3",-0.108243491381005,0.434946708145277
"2355","COL6A2","Collagen alpha-2(VI) chain",-0.108341689827357,0.426602002681922
"2356","BABAM1","BRISC and BRCA1-A complex member 1",-0.108749711846228,0.463070890483216
"2357","RAD23A","UV excision repair protein RAD23 homolog A",-0.109087169946227,0.240711934055262
"2358","DCUN1D2","DCN1-like protein 2",-0.109164373600487,0.35692032723846
"2359","BLMH","Bleomycin hydrolase",-0.109323951604564,0.313749670493473
"2360","PALLD","Palladin",-0.109359903584954,0.380406432194836
"2361","LAMB2","Laminin subunit beta-2",-0.109368205718516,0.404252319944641
"2362","HOMER3","Homer protein homolog 3",-0.110574832678042,0.56607146699085
"2363","DFFA","DNA fragmentation factor subunit alpha",-0.110850915292746,0.465400065397096
"2364","CAND1","Cullin-associated NEDD8-dissociated protein 1",-0.111059772263324,0.228587857990228
"2365","METTL26","Methyltransferase-like 26",-0.111533483625193,0.45678829701829
"2366","NIT2","Omega-amidase NIT2",-0.111786141380444,0.309126184428663
"2367","HDGF","Hepatoma-derived growth factor",-0.11189408920087,0.373843055711503
"2368","TCERG1","Transcription elongation regulator 1",-0.111899774435178,0.539837892941415
"2369","ISOC1","Isochorismatase domain-containing protein 1",-0.112077870503105,0.386654989599756
"2370","GLOD4","Glyoxalase domain-containing protein 4",-0.112182165162963,0.178306138659226
"2371","ISCU","Iron-sulfur cluster assembly enzyme ISCU",-0.112303719042609,0.550111221942715
"2372","EIF4H","Eukaryotic translation initiation factor 4H",-0.112662781587767,0.354121889952781
"2373","PLCB1","1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-1",-0.112974270752311,0.538429784619723
"2374","ILF3","Interleukin enhancer-binding factor 3",-0.112996850862405,0.461985953877354
"2375","TXNDC9","Thioredoxin domain-containing protein 9",-0.113342686184332,0.499897380077224
"2376","AHCYL1","S-adenosylhomocysteine hydrolase-like protein 1",-0.113449421172987,0.480283227789469
"2377","AP2B1","AP-2 complex subunit beta",-0.113609824116114,0.292314032177381
"2378","MTAP","S-methyl-5'-thioadenosine phosphorylase",-0.113973383886291,0.404455170957328
"2379","HNRNPH2","Heterogeneous nuclear ribonucleoprotein H2",-0.114462395013359,0.447645991610453
"2380","CTSL","Procathepsin L",-0.114805238364815,0.452937874560399
"2381","EIF4B","Eukaryotic translation initiation factor 4B",-0.115253216208899,0.551404835963735
"2382","UFM1","Ubiquitin-fold modifier 1",-0.115524095890697,0.393833302221806
"2383","COLGALT1","Procollagen galactosyltransferase 1",-0.115561501677725,0.484467201426719
"2384","BROX","BRO1 domain-containing protein BROX",-0.115574991864618,0.467867778829232
"2385","PKIA","cAMP-dependent protein kinase inhibitor alpha",-0.116388240319203,0.337559000980465
"2386","SLC2A1","Solute carrier family 2, facilitated glucose transporter member 1",-0.116407975804924,0.566417167267322
"2387","CKAP5","Cytoskeleton-associated protein 5",-0.116435187541233,0.547325168033487
"2388","PRKCQ","Protein kinase C theta type",-0.116500703836135,0.332347022023509
"2389","AKR1C3","Aldo-keto reductase family 1 member C3",-0.116501815227043,0.569739291884684
"2390","PRPSAP1","Phosphoribosyl pyrophosphate synthase-associated protein 1",-0.116692016914371,0.401321690854232
"2391","FERMT2","Fermitin family homolog 2",-0.116782621538054,0.251003126913626
"2392","ERGIC1","Endoplasmic reticulum-Golgi intermediate compartment protein 1",-0.116876278281637,0.497091383071669
"2393","ACHE","Acetylcholinesterase",-0.117813555691049,0.592497541461671
"2394","UTRN","Utrophin",-0.11813111578763,0.521264394114649
"2395","NAPG","Gamma-soluble NSF attachment protein",-0.118326658533274,0.38933124876351
"2396","NPTN","Neuroplastin",-0.11882579097637,0.543937077725126
"2397","FAM98B","Protein FAM98B",-0.12008392775196,0.387398766798108
"2398","H2AZ1","Histone H2A.Z",-0.1204511243385,0.368164178773709
"2399","FABP3","Fatty acid-binding protein, heart",-0.120777219775899,0.440637245882086
"2400","EIF6","Eukaryotic translation initiation factor 6",-0.120898559053824,0.427921076078588
"2401","TGFBI","Transforming growth factor-beta-induced protein ig-h3",-0.12118971327879,0.404252319944641
"2402","CSK","Tyrosine-protein kinase CSK",-0.121406249130157,0.518700736361409
"2403","TRIAP1","TP53-regulated inhibitor of apoptosis 1",-0.122127916204477,0.447645991610453
"2404","OXCT1","Succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial",-0.122172209789282,0.549912352127999
"2405","GLRX","Glutaredoxin-1",-0.122473372113152,0.537259264864721
"2406","PDCD6","Programmed cell death protein 6",-0.122657182709274,0.313749670493473
"2407","UROD","Uroporphyrinogen decarboxylase",-0.122958814979494,0.35818556251104
"2408","ITIH2","Inter-alpha-trypsin inhibitor heavy chain H2",-0.12319602002731,0.432438262356926
"2409","FGB","Fibrinogen beta chain",-0.123238156362975,0.461807665002765
"2410","DUSP22","Dual specificity protein phosphatase 22",-0.123264397460211,0.428715810355913
"2411","RO60","RNA-binding protein RO60",-0.12326625617446,0.253830515707326
"2412","MAP1LC3B2","Microtubule-associated proteins 1A/1B light chain 3 beta 2",-0.123377737671733,0.41533919941508
"2413","MT-ND1","NADH-ubiquinone oxidoreductase chain 1",-0.123630398205394,0.512216943420789
"2414","PPP1R2","Protein phosphatase inhibitor 2",-0.123762954628129,0.248257324510093
"2415","GSTM3","Glutathione S-transferase Mu 3",-0.1239401280341,0.45678829701829
"2416","DRG1","Developmentally-regulated GTP-binding protein 1",-0.124172898954267,0.434946708145277
"2417","SELENOW","Selenoprotein W",-0.125107817826606,0.476279110356836
"2418","NT5C2","Cytosolic purine 5'-nucleotidase",-0.125112908590209,0.537259264864721
"2419","PLEC","Plectin",-0.125620377450179,0.232066879924445
"2420","TPSB2","Tryptase beta-2",-0.12608306586953,0.472600968319034
"2421","OSTF1","Osteoclast-stimulating factor 1",-0.126206107507997,0.507987114210622
"2422","METAP1D","Methionine aminopeptidase 1D, mitochondrial",-0.12653824562522,0.510578187835472
"2423","SERPINC1","Antithrombin-III",-0.126657371469971,0.261161558671333
"2424","RYR1","Ryanodine receptor 1",-0.12705316500962,0.322085187976499
"2425","NGRN","Neugrin",-0.127184315166096,0.594317185473103
"2426","NEK9","Serine/threonine-protein kinase Nek9",-0.127199847265281,0.432438262356926
"2427","PAK2","Serine/threonine-protein kinase PAK 2",-0.127801874255493,0.253761716378393
"2428","COL4A1","Collagen alpha-1(IV) chain",-0.127896399187575,0.552699441550142
"2429","RBBP7","Histone-binding protein RBBP7",-0.128031630490423,0.247953497573564
"2430","PGD","6-phosphogluconate dehydrogenase, decarboxylating",-0.128347317025398,0.185351830628396
"2431","TMLHE","Trimethyllysine dioxygenase, mitochondrial",-0.128647175709711,0.45678829701829
"2432","F2","Prothrombin",-0.128920018964665,0.36817756857899
"2433","SPTB","Spectrin beta chain, erythrocytic",-0.129025338921796,0.313339443165046
"2434","PLPBP","Pyridoxal phosphate homeostasis protein",-0.129056084782384,0.27801432092032
"2435","SHMT1","Serine hydroxymethyltransferase, cytosolic",-0.129322557884933,0.44781906694492
"2436","GUSB","Beta-glucuronidase",-0.129662360093606,0.385251900074244
"2437","POTEF","POTE ankyrin domain family member F",-0.129855739697739,0.359851521057021
"2438","NDUFC2","NADH dehydrogenase [ubiquinone] 1 subunit C2",-0.129973836065652,0.42142662331014
"2439","ITIH5","Inter-alpha-trypsin inhibitor heavy chain H5",-0.130073949897849,0.370772954891265
"2440","VAT1","Synaptic vesicle membrane protein VAT-1 homolog",-0.130124415963548,0.38933124876351
"2441","DCN","Decorin",-0.130579456532727,0.493807551999387
"2442","ARPC4","Actin-related protein 2/3 complex subunit 4",-0.130730212826423,0.447645991610453
"2443","SLC44A2","Choline transporter-like protein 2",-0.130975088784975,0.387398766798108
"2444","CKAP4","Cytoskeleton-associated protein 4",-0.130990758562479,0.48138567675258
"2445","RAB1A","Ras-related protein Rab-1A",-0.131418251114972,0.404252319944641
"2446","RTCA","RNA 3'-terminal phosphate cyclase",-0.131688200093864,0.236054378492122
"2447","F12","Coagulation factor XII",-0.131780657301306,0.434946708145277
"2448","SRSF4","Serine/arginine-rich splicing factor 4",-0.132846986271517,0.492681376568829
"2449","FUS","RNA-binding protein FUS",-0.13388292522796,0.436418837448989
"2450","U2AF2","Splicing factor U2AF 65 kDa subunit",-0.133933164128823,0.451728876196246
"2451","UBA1","Ubiquitin-like modifier-activating enzyme 1",-0.13400316774503,0.118204256071928
"2452","DMD","Dystrophin",-0.134374146199539,0.166957016588445
"2453","SSU72","RNA polymerase II subunit A C-terminal domain phosphatase SSU72",-0.134560214246864,0.497223433483801
"2454","FLOT2","Flotillin-2",-0.134679692090554,0.239200887637091
"2455","RPL26L1","60S ribosomal protein L26-like 1",-0.134742775541666,0.481167024126379
"2456","NRBP1","Nuclear receptor-binding protein",-0.135181947270269,0.216653305015504
"2457","KTI12","Protein KTI12 homolog",-0.135254257475101,0.592497541461671
"2458","C12orf57","Protein C10",-0.13586000522346,0.504635800509814
"2459","PPP2R3A","Serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit alpha",-0.136106037100308,0.401321690854232
"2460","TBC1D4","TBC1 domain family member 4",-0.136538809365703,0.200890461352689
"2461","EIF5B","Eukaryotic translation initiation factor 5B",-0.136698983549666,0.360435332261188
"2462","TXNDC12","Thioredoxin domain-containing protein 12",-0.137975133610947,0.261161558671333
"2463","HNRNPF","Heterogeneous nuclear ribonucleoprotein F",-0.138074833283868,0.298857787810178
"2464","BNIP1","Vesicle transport protein SEC20",-0.138615952358887,0.404489678709453
"2465","CDV3","Protein CDV3 homolog",-0.138786265143942,0.401321690854232
"2466","CCDC134","Coiled-coil domain-containing protein 134",-0.139104599789318,0.428715810355913
"2467","UBR3","E3 ubiquitin-protein ligase UBR3",-0.139360691530449,0.293823446106439
"2468","RPL13","60S ribosomal protein L13",-0.139444523217882,0.392290813762872
"2469","NUP54","Nucleoporin p54",-0.13991238607988,0.265489430880169
"2470","HRG","Histidine-rich glycoprotein",-0.140260249010522,0.44385224337445
"2471","UFC1","Ubiquitin-fold modifier-conjugating enzyme 1",-0.14195860754101,0.465400065397096
"2472","RPL13A","60S ribosomal protein L13a",-0.142826523802691,0.489952857002676
"2473","EIF1B","Eukaryotic translation initiation factor 1b",-0.14384190027943,0.461903527721167
"2474","ATRN","Attractin",-0.143899167676608,0.451295808362158
"2475","CTNNA1","Catenin alpha-1",-0.144491126756895,0.481167024126379
"2476","GCN1","eIF-2-alpha kinase activator GCN1",-0.144508579600863,0.313608376275979
"2477","RPN1","Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1",-0.144707972028371,0.145204323292994
"2478","POLR2I","DNA-directed RNA polymerase II subunit RPB9",-0.144836009893996,0.484273221972785
"2479","YWHAQ","14-3-3 protein theta",-0.145133639726041,0.249348479417146
"2480","CACNA1S","Voltage-dependent L-type calcium channel subunit alpha-1S",-0.145231374549079,0.339053556890268
"2481","SRP14","Signal recognition particle 14 kDa protein",-0.145412375942385,0.45678829701829
"2482","MYL1","Myosin light chain 1/3, skeletal muscle isoform",-0.145900670103082,0.538404962920641
"2483","FAF1","FAS-associated factor 1",-0.146537578467939,0.300582944297429
"2484","TM9SF2","Transmembrane 9 superfamily member 2",-0.146558353690441,0.417093071220013
"2485","HNRNPH3","Heterogeneous nuclear ribonucleoprotein H3",-0.146856608297085,0.293608065756305
"2486","RPL31","60S ribosomal protein L31",-0.147047334159996,0.401403948115554
"2487","C3","Complement C3",-0.147524867104268,0.322085187976499
"2488","TSG101","Tumor susceptibility gene 101 protein",-0.147735343557502,0.334565298054482
"2489","TRMT112","Multifunctional methyltransferase subunit TRM112-like protein",-0.147750895378534,0.357439196227824
"2490","MCU","Calcium uniporter protein, mitochondrial",-0.147991072860854,0.404066021069232
"2491","SCN1B","Sodium channel subunit beta-1",-0.14808420304538,0.253761716378393
"2492","AASS","Alpha-aminoadipic semialdehyde synthase, mitochondrial",-0.148307698147931,0.426602002681922
"2493","PRPF6","Pre-mRNA-processing factor 6",-0.148353140483202,0.265478293533947
"2494","TNNT3","Troponin T, fast skeletal muscle",-0.148457582580885,0.639265092800812
"2495","FLII","Protein flightless-1 homolog",-0.150543038798537,0.217164566402849
"2496","TJP1","Tight junction protein ZO-1",-0.151805108096273,0.43611311530694
"2497","IRGQ","Immunity-related GTPase family Q protein",-0.151841640841937,0.434946708145277
"2498","ARPC1B","Actin-related protein 2/3 complex subunit 1B",-0.152709254485567,0.369098783734234
"2499","TIMM23","Mitochondrial import inner membrane translocase subunit Tim23",-0.152714482664448,0.476279110356836
"2500","GGCT","Gamma-glutamylcyclotransferase",-0.153204452616436,0.354121889952781
"2501","WBP2","WW domain-binding protein 2",-0.15336444313794,0.434946708145277
"2502","RAB9A","Ras-related protein Rab-9A",-0.1535113442915,0.44385224337445
"2503","VCAN","Versican core protein",-0.153548615878446,0.478007428855162
"2504","ACSL3","Fatty acid CoA ligase Acsl3",-0.153799689467913,0.107894213783437
"2505","GPD2","Glycerol-3-phosphate dehydrogenase, mitochondrial",-0.153997606281139,0.489952857002676
"2506","CYRIA","CYFIP-related Rac1 interactor A",-0.154095130289008,0.402459961206037
"2507","DHTKD1","2-oxoadipate dehydrogenase complex component E1",-0.154448631838195,0.45678829701829
"2508","SIGLEC1","Sialoadhesin",-0.154716531775165,0.354708712674131
"2509","PML","Protein PML",-0.154839080399503,0.347938890762905
"2510","FGGY","FGGY carbohydrate kinase domain-containing protein",-0.154941571813083,0.377816116417016
"2511","DNAJB11","DnaJ homolog subfamily B member 11",-0.15518173851166,0.39711971335571
"2512","IGKV2-28","Immunoglobulin kappa variable 2-28",-0.155572418621976,0.545517623705953
"2513","F13A1","Coagulation factor XIII A chain",-0.155716461670522,0.300388887251894
"2514","THOP1","Thimet oligopeptidase",-0.156231318692805,0.158237260747298
"2515","PSMD5","26S proteasome non-ATPase regulatory subunit 5",-0.156256067277958,0.269814266710373
"2516","MRC2","C-type mannose receptor 2",-0.15695351890548,0.483477083097246
"2517","TRIM55","Tripartite motif-containing protein 55",-0.157229466516986,0.322702123255144
"2518","SESN1","Sestrin-1",-0.157842802796933,0.108949704398007
"2519","C9","Complement component C9",-0.158043607354106,0.48782940557621
"2520","PDK1","[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 1, mitochondrial",-0.158667177048995,0.405150920051286
"2521","PON1","Serum paraoxonase/arylesterase 1",-0.158707409554511,0.451728876196246
"2522","THTPA","Thiamine-triphosphatase",-0.158759340591338,0.434946708145277
"2523","BNIP3","BCL2/adenovirus E1B 19 kDa protein-interacting protein 3",-0.159339401496844,0.327449329199708
"2524","CLNS1A","Methylosome subunit pICln",-0.160023553573435,0.310546518488711
"2525","AHSG","Alpha-2-HS-glycoprotein",-0.160268790072632,0.369098783734234
"2526","STAT5B","Signal transducer and activator of transcription 5B",-0.16079602841465,0.253830515707326
"2527","CD36","Platelet glycoprotein 4",-0.160874990744869,0.277671308124249
"2528","SH3BGR","SH3 domain-binding glutamic acid-rich protein",-0.160956416472196,0.155134627232173
"2529","UBE4A","Ubiquitin conjugation factor E4 A",-0.161091851677298,0.307234712811357
"2530","DPT","Dermatopontin",-0.161181570023672,0.465863554780759
"2531","WASHC2A","WASH complex subunit 2A",-0.161276219728871,0.286947424116091
"2532","GPC4","Glypican-4",-0.161686296299836,0.434946708145277
"2533","IL18","Interleukin-18",-0.162662578853404,0.406475805641564
"2534","TMEM14C","Transmembrane protein 14C",-0.162727595602478,0.356405228580337
"2535","FGA","Fibrinogen alpha chain",-0.162941229885661,0.434946708145277
"2536","APOE","Apolipoprotein E",-0.162952065937018,0.237227326731938
"2537","AK4","Adenylate kinase 4, mitochondrial",-0.162998032837008,0.464438748101572
"2538","SLC25A42","Mitochondrial coenzyme A transporter SLC25A42",-0.163426659147671,0.361085287263699
"2539","TNNI1","Troponin I, slow skeletal muscle",-0.163446238811598,0.63598726844051
"2540","NEB","Nebulin",-0.163624524959172,0.314700630649028
"2541","POLR2H","DNA-directed RNA polymerases I, II, and III subunit RPABC3",-0.164147406562527,0.401403948115554
"2542","MYBPC2","Myosin-binding protein C, fast-type",-0.164496012186561,0.63598726844051
"2543","APOA2","Apolipoprotein A-II",-0.165169243190244,0.262973085961061
"2544","ARHGAP10","Rho GTPase-activating protein 10",-0.166163213134453,0.393701481542147
"2545","RBFOX1","RNA binding protein fox-1 homolog 1",-0.166384040948326,0.426602002681922
"2546","PPP3CA","Protein phosphatase 3 catalytic subunit alpha",-0.166616114303922,0.313749670493473
"2547","ERI3","ERI1 exoribonuclease 3",-0.166652882020177,0.434946708145277
"2548","RRM2B","Ribonucleoside-diphosphate reductase subunit M2 B",-0.167585879388705,0.422160763898939
