"","Gene_name","Description","log2FC_male-female","q-value","fiber_type"
"4105","REXO2","Oligoribonuclease, mitochondrial",0.0947001450175868,0.470623759364889,"type_2"
"4106","SLC25A12","Electrogenic aspartate/glutamate antiporter SLC25A12, mitochondrial",0.0946840285225576,0.484505407033526,"type_2"
"4107","COQ9","Ubiquinone biosynthesis protein COQ9, mitochondrial",0.0946371136984041,0.415220331150877,"type_2"
"4108","STIM1","Stromal interaction molecule 1",0.0946179050334877,0.397630207100302,"type_2"
"4109","GSTM2","Glutathione S-transferase Mu 2",0.0945615711745909,0.475590452889226,"type_2"
"4110","PCBP2","Poly(rC)-binding protein 2",0.0944308110243117,0.383165448982137,"type_2"
"4111","LPIN1","Phosphatidate phosphatase LPIN1",0.0942679164915443,0.513766204039413,"type_2"
"4112","PDLIM3","PDZ and LIM domain protein 3",0.0942525856375696,0.477509073774436,"type_2"
"4113","MAPK1","Mitogen-activated protein kinase 1",0.0942383472382051,0.336515754484131,"type_2"
"4114","MYO1B","Unconventional myosin-Ib",0.0941314595403799,0.567137095543208,"type_2"
"4115","ALDH16A1","Aldehyde dehydrogenase family 16 member A1",0.0939807494119211,0.545774592876621,"type_2"
"4116","AHCYL1","S-adenosylhomocysteine hydrolase-like protein 1",0.093971849578665,0.515540158157994,"type_2"
"4117","LSS","Lanosterol synthase",0.0938947905954919,0.471192282990633,"type_2"
"4118","LONP1","Lon protease homolog, mitochondrial",0.0936912339470322,0.397630207100302,"type_2"
"4119","CLASP1","CLIP-associating protein 1",0.0935691062858837,0.455738432085427,"type_2"
"4120","AKR1A1","Aldo-keto reductase family 1 member A1",0.0933710125671823,0.421984008196415,"type_2"
"4121","CAPG","Macrophage-capping protein",0.0933685837965079,0.474496447870356,"type_2"
"4122","RPS27A","Ubiquitin-40S ribosomal protein S27a",0.0932611959169272,0.414410054199655,"type_2"
"4123","FAM162A","Protein FAM162A",0.09325123491619,0.51942794621761,"type_2"
"4124","LIMCH1","LIM and calponin homology domains-containing protein 1",0.0930876454685059,0.415003852755941,"type_2"
"4125","PEF1","Peflin",0.0928709161261239,0.587968297072971,"type_2"
"4126","SMYD1","Histone-lysine N-methyltransferase SMYD1",0.0928024561510163,0.351709645396052,"type_2"
"4127","MTX2","Metaxin-2",0.0926382974863547,0.462927371116412,"type_2"
"4128","TMPO","Lamina-associated polypeptide 2, isoforms beta/gamma",0.0923316729508468,0.523209618840307,"type_2"
"4129","NID2","Nidogen-2",0.0915636170942129,0.378806792781856,"type_2"
"4130","NAP1L4","Nucleosome assembly protein 1-like 4",0.0910325893789601,0.316267624512226,"type_2"
"4131","CLTB","Clathrin light chain B",0.0908852363810819,0.403756844693393,"type_2"
"4132","HYCC1","Hyccin",0.0908134472095892,0.526658070817502,"type_2"
"4133","HNRNPH1","Heterogeneous nuclear ribonucleoprotein H",0.0907794956401542,0.35828388759258,"type_2"
"4134","NAA10","N-alpha-acetyltransferase 10",0.0906638877766888,0.528214503410053,"type_2"
"4135","COL15A1","Collagen alpha-1(XV) chain",0.090530142340155,0.415901588809296,"type_2"
"4136","NPEPPS","Puromycin-sensitive aminopeptidase",0.0901594338715732,0.308018714906189,"type_2"
"4137","MGST3","Microsomal glutathione S-transferase 3",0.090154324220066,0.50130408237066,"type_2"
"4138","PPP1R14C","Protein phosphatase 1 regulatory subunit 14C",0.0898576550656767,0.523300330048877,"type_2"
"4139","DDAH2","N(G),N(G)-dimethylarginine dimethylaminohydrolase 2",0.0896322479845626,0.548536812192142,"type_2"
"4140","CLUH","Clustered mitochondria protein homolog",0.089340874781902,0.45057178212228,"type_2"
"4141","PSME2","Proteasome activator complex subunit 2",0.0893281545410964,0.484476470947182,"type_2"
"4142","CTBP1","C-terminal-binding protein 1",0.089211763753843,0.415220331150877,"type_2"
"4143","TUBA3C","Tubulin alpha-3C chain",0.0891783955001131,0.474184275990703,"type_2"
"4144","ARHGAP17","Rho GTPase-activating protein 17",0.0889296301898721,0.475701991983396,"type_2"
"4145","LMNB2","Lamin-B2",0.0888878146860232,0.379061637036281,"type_2"
"4146","HMOX2","Heme oxygenase 2",0.0888140532941666,0.395469136661048,"type_2"
"4147","CAMK2D","Calcium/calmodulin-dependent protein kinase type II subunit delta",0.0887247370446342,0.498826354646406,"type_2"
"4148","ECI1","Enoyl-CoA delta isomerase 1, mitochondrial",0.0886636815505355,0.459436952471676,"type_2"
"4149","EIF1","Eukaryotic translation initiation factor 1",0.0886270663375139,0.420711458750601,"type_2"
"4150","IPO5","Importin-5",0.0886093375380987,0.371088758684911,"type_2"
"4151","SIRT2","NAD-dependent protein deacetylase sirtuin-2",0.0885936524455282,0.480188374188209,"type_2"
"4152","PRKG1","cGMP-dependent protein kinase 1",0.0885844125933115,0.415220331150877,"type_2"
"4153","PALMD","Palmdelphin",0.0883103699162184,0.496253911033829,"type_2"
"4154","PPP1CB","Serine/threonine-protein phosphatase PP1-beta catalytic subunit",0.0882065608765181,0.326768877759309,"type_2"
"4155","UFM1","Ubiquitin-fold modifier 1",0.0879505514791674,0.478151463054504,"type_2"
"4156","SUN1","SUN domain-containing protein 1",0.0879043163675473,0.395709215892203,"type_2"
"4157","PSMF1","Proteasome inhibitor PI31 subunit",0.0877723845231948,0.464588657108138,"type_2"
"4158","EPHX2","Bifunctional epoxide hydrolase 2",0.0874623016665321,0.538672646298034,"type_2"
"4159","NDUFAB1","Acyl carrier protein, mitochondrial",0.0874236438592924,0.427894828112054,"type_2"
"4160","ECHS1","Enoyl-CoA hydratase, mitochondrial",0.0874234885257987,0.523905005813939,"type_2"
"4161","MGLL","Monoglyceride lipase",0.0871430570585261,0.509077454360694,"type_2"
"4162","IDH3G","Isocitrate dehydrogenase [NAD] subunit gamma, mitochondrial",0.0871285643090296,0.467109733608358,"type_2"
"4163","SERPINH1","Serpin H1",0.0870757074964459,0.472011645735557,"type_2"
"4164","RPS18","40S ribosomal protein S18",0.0868036365096945,0.448162337006817,"type_2"
"4165","HOMER1","Homer protein homolog 1",0.0867330916363542,0.430169876499752,"type_2"
"4166","RPL11","60S ribosomal protein L11",0.0867197767911279,0.449475533393468,"type_2"
"4167","VPS35","Vacuolar protein sorting-associated protein 35",0.0866040084707684,0.380641604313252,"type_2"
"4168","UBR4","E3 ubiquitin-protein ligase UBR4",0.0863551523413992,0.534935723093855,"type_2"
"4169","NIBAN1","Protein Niban 1",0.086192911381703,0.464628978781797,"type_2"
"4170","CYB5A","Cytochrome b5",0.0860358996923072,0.452787467196471,"type_2"
"4171","MRPL45","39S ribosomal protein L45, mitochondrial",0.0860110827571781,0.509438555716414,"type_2"
"4172","PURB","Transcriptional activator protein Pur-beta",0.0858710770677682,0.477576477124326,"type_2"
"4173","MYH11","Myosin-11",0.0857547710552762,0.56875714692516,"type_2"
"4174","EIF3K","Eukaryotic translation initiation factor 3 subunit K",0.0855676096482192,0.380641604313252,"type_2"
"4175","ACE","Angiotensin-converting enzyme",0.0851498240779787,0.507823377819231,"type_2"
"4176","ELOB","Elongin-B",0.0851173186543246,0.415220331150877,"type_2"
"4177","NUDT3","Diphosphoinositol polyphosphate phosphohydrolase 1",0.0848555417234245,0.520500855037497,"type_2"
"4178","THY1","Thy-1 membrane glycoprotein",0.0846652141846818,0.552472944047498,"type_2"
"4179","HEBP1","Heme-binding protein 1",0.0845621313123495,0.510447520094669,"type_2"
"4180","DTNA","Dystrobrevin alpha",0.0840860937364916,0.382524219063344,"type_2"
"4181","SKIC3","SKI3 subunit of superkiller complex protein",0.0836128172574639,0.497824432488364,"type_2"
"4182","GATAD2B","Transcriptional repressor p66-beta",0.083361849942186,0.404593729821057,"type_2"
"4183","BAG2","BAG family molecular chaperone regulator 2",0.0832397807876966,0.417339722248645,"type_2"
"4184","TOMM40","Mitochondrial import receptor subunit TOM40 homolog",0.0831930252908499,0.53792389069704,"type_2"
"4185","ILF2","Interleukin enhancer-binding factor 2",0.0831402782184885,0.598441041216805,"type_2"
"4186","GMPS","GMP synthase [glutamine-hydrolyzing]",0.0830696938753377,0.471884005806572,"type_2"
"4187","SDR39U1","Epimerase family protein SDR39U1",0.0830293990730215,0.523905005813939,"type_2"
"4188","LANCL1","Glutathione S-transferase LANCL1",0.0830263771971413,0.459436952471676,"type_2"
"4189","UBE2O","(E3-independent) E2 ubiquitin-conjugating enzyme",0.0829012736562742,0.444399862225364,"type_2"
"4190","COA7","Cytochrome c oxidase assembly factor 7",0.082863845348955,0.411508846091765,"type_2"
"4191","PPME1","Protein phosphatase methylesterase 1",0.0827916844105108,0.406926368553917,"type_2"
"4192","STAT3","Signal transducer and activator of transcription 3",0.0825530263552956,0.555902589679762,"type_2"
"4193","RPL23A","60S ribosomal protein L23a",0.0824723563683065,0.51500686004579,"type_2"
"4194","SH3BGRL3","SH3 domain-binding glutamic acid-rich-like protein 3",0.0823787788435428,0.534935723093855,"type_2"
"4195","FHL1","Four and a half LIM domains protein 1",0.0821201874668915,0.443081697673468,"type_2"
"4196","STOML2","Stomatin-like protein 2, mitochondrial",0.0821114221193007,0.50190273480541,"type_2"
"4197","CAP2","Adenylyl cyclase-associated protein 2",0.0815808807318525,0.35828388759258,"type_2"
"4198","DUSP13","Dual specificity protein phosphatase 13 isoform A",0.0814522056046396,0.545774592876621,"type_2"
"4199","DUSP13","Dual specificity protein phosphatase 13 isoform B",0.0814522056046396,0.545774592876621,"type_2"
"4200","PSMD10","26S proteasome non-ATPase regulatory subunit 10",0.0813037325123123,0.406477198326855,"type_2"
"4201","EEFSEC","Selenocysteine-specific elongation factor",0.0812661103038348,0.51767807620308,"type_2"
"4202","EIF3E","Eukaryotic translation initiation factor 3 subunit E",0.0806991082790312,0.544171131651502,"type_2"
"4203","ATPAF2","ATP synthase mitochondrial F1 complex assembly factor 2",0.0806149794768043,0.535613591906864,"type_2"
"4204","HBB","Hemoglobin subunit beta",0.0806123146444655,0.583045018095669,"type_2"
"4205","LAMA5","Laminin subunit alpha-5",0.0803654609402038,0.545774592876621,"type_2"
"4206","PNPLA6","Patatin-like phospholipase domain-containing protein 6",0.0800933233021812,0.555902589679762,"type_2"
"4207","VAPA","Vesicle-associated membrane protein-associated protein A",0.0799222798710577,0.383960883529288,"type_2"
"4208","CSRP3","Cysteine and glycine-rich protein 3",0.0798570502168978,0.555902589679762,"type_2"
"4209","HSPA5","Endoplasmic reticulum chaperone BiP",0.0797132601322197,0.444399862225364,"type_2"
"4210","QKI","KH domain-containing RNA-binding protein QKI",0.079514564257595,0.523209618840307,"type_2"
"4211","SNTB1","Beta-1-syntrophin",0.0794523731211125,0.492611414268953,"type_2"
"4212","C11orf54","Ester hydrolase C11orf54",0.0792949995621175,0.465472210919027,"type_2"
"4213","ABHD11","Protein ABHD11",0.0789118244165135,0.470623759364889,"type_2"
"4214","PLXND1","Plexin-D1",0.0788960944234205,0.557855736371084,"type_2"
"4215","PSMB2","Proteasome subunit beta type-2",0.078690022767864,0.46490206006821,"type_2"
"4216","PGM5","Phosphoglucomutase-like protein 5",0.0786899226340569,0.536588186991938,"type_2"
"4217","ILKAP","Integrin-linked kinase-associated serine/threonine phosphatase 2C",0.0785244775373783,0.516670352479842,"type_2"
"4218","COMTD1","Catechol O-methyltransferase domain-containing protein 1",0.0781278459756738,0.543412360016328,"type_2"
"4219","PPP6R3","Serine/threonine-protein phosphatase 6 regulatory subunit 3",0.0780081818724074,0.472559915211821,"type_2"
"4220","NIPSNAP3B","Protein NipSnap homolog 3B",0.0775420574469319,0.583772957195104,"type_2"
"4221","PAFAH1B1","Platelet-activating factor acetylhydrolase IB subunit beta",0.0774938590868537,0.470444634651091,"type_2"
"4222","TRIM72","Tripartite motif-containing protein 72",0.0774049206244491,0.378620406318261,"type_2"
"4223","RALY","RNA-binding protein Raly",0.077319059798274,0.490572633810512,"type_2"
"4224","OSBPL9","Oxysterol-binding protein-related protein 9",0.0769095642055344,0.583045018095669,"type_2"
"4225","CRYAB","Alpha-crystallin B chain",0.0768025287417871,0.451194851040739,"type_2"
"4226","LGALS3BP","Galectin-3-binding protein",0.0765422950613104,0.587968297072971,"type_2"
"4227","ARCN1","Coatomer subunit delta",0.0764127097392784,0.520500855037497,"type_2"
"4228","VIM","Vimentin",0.0763901076545999,0.540738827455209,"type_2"
"4229","CASP7","Caspase-7",0.0760015026987961,0.544171131651502,"type_2"
"4230","NCK2","Cytoplasmic protein NCK2",0.0759862785827874,0.555902589679762,"type_2"
"4231","MAPRE2","Microtubule-associated protein RP/EB family member 2",0.0759041621235887,0.478151463054504,"type_2"
"4232","SAMM50","Sorting and assembly machinery component 50 homolog",0.0756267974649418,0.534219382904891,"type_2"
"4233","LSM1","U6 snRNA-associated Sm-like protein LSm1",0.0753238551277615,0.490572633810512,"type_2"
"4234","HNRNPA2B1","Heterogeneous nuclear ribonucleoproteins A2/B1",0.07522653220507,0.42075812885042,"type_2"
"4235","PPP2R5D","Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit delta isoform",0.0750319855142543,0.457247561818393,"type_2"
"4236","HSPB2","Heat shock protein beta-2",0.0750127818492494,0.477509073774436,"type_2"
"4237","BLVRA","Biliverdin reductase A",0.0747418935947319,0.464588657108138,"type_2"
"4238","PEBP1","Phosphatidylethanolamine-binding protein 1",0.0746444267897886,0.413924087790334,"type_2"
"4239","RPL7A","60S ribosomal protein L7a",0.0744962839775756,0.490572633810512,"type_2"
"4240","IMPDH2","Inosine-5'-monophosphate dehydrogenase 2",0.074185356271725,0.471418355582707,"type_2"
"4241","LEMD2","LEM domain-containing protein 2",0.0738784395840746,0.554500957849449,"type_2"
"4242","ABRA","Actin-binding Rho-activating protein",0.0738178145039221,0.569716319425579,"type_2"
"4243","SND1","Staphylococcal nuclease domain-containing protein 1",0.0737337570899186,0.43531316730269,"type_2"
"4244","STRAP","Serine-threonine kinase receptor-associated protein",0.0733272728721168,0.461537051531128,"type_2"
"4245","HK1","Hexokinase-1",0.0732273494334521,0.478151463054504,"type_2"
"4246","DNAJA2","DnaJ homolog subfamily A member 2",0.0732270498361292,0.413144198183848,"type_2"
"4247","DGLUCY","D-glutamate cyclase, mitochondrial",0.073007701663041,0.552472944047498,"type_2"
"4248","NAXD","ATP-dependent (S)-NAD(P)H-hydrate dehydratase",0.0729989144829268,0.470623759364889,"type_2"
"4249","QARS1","Glutamine--tRNA ligase",0.0729537729620358,0.415220331150877,"type_2"
"4250","GLRX3","Glutaredoxin-3",0.0724611303455838,0.478093861467427,"type_2"
"4251","FKBP7","Peptidyl-prolyl cis-trans isomerase FKBP7",0.0722965963097817,0.53792389069704,"type_2"
"4252","PRRC1","Protein PRRC1",0.0721713274262985,0.5577846448699,"type_2"
"4253","TIMM21","Mitochondrial import inner membrane translocase subunit Tim21",0.071942078001074,0.51942794621761,"type_2"
"4254","HIBADH","3-hydroxyisobutyrate dehydrogenase, mitochondrial",0.0719215561086273,0.477509073774436,"type_2"
"4255","IGFBP7","Insulin-like growth factor-binding protein 7",0.0718216728999508,0.577921249765599,"type_2"
"4256","HEBP2","Heme-binding protein 2",0.0715411665029855,0.434055323590966,"type_2"
"4257","RPS6KB2","Ribosomal protein S6 kinase beta-2",0.0711861850726141,0.603802107496869,"type_2"
"4258","STUB1","E3 ubiquitin-protein ligase CHIP",0.071139421306782,0.415901588809296,"type_2"
"4259","SCRN2","Secernin-2",0.0708077292144029,0.53733192683665,"type_2"
"4260","PURA","Transcriptional activator protein Pur-alpha",0.0702028897512097,0.496078680909832,"type_2"
"4261","MCCC1","Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial",0.0701930707381297,0.507823377819231,"type_2"
"4262","RACK1","Receptor of activated protein C kinase 1",0.0701657235347248,0.509077454360694,"type_2"
"4263","TAGLN","Transgelin",0.0700361423628131,0.581052071746713,"type_2"
"4264","PSMA7","Proteasome subunit alpha type-7",0.0699834211505852,0.4839100086539,"type_2"
"4265","FYCO1","FYVE and coiled-coil domain-containing protein 1",0.0699524956867617,0.455728949062713,"type_2"
"4266","RNF114","E3 ubiquitin-protein ligase RNF114",0.0698073356264377,0.512938754219958,"type_2"
"4267","FLNA","Filamin-A",0.0696800422114663,0.4839100086539,"type_2"
"4268","HAGH","Hydroxyacylglutathione hydrolase, mitochondrial",0.0695888791654955,0.423390397627083,"type_2"
"4269","EARS2","Probable glutamate--tRNA ligase, mitochondrial",0.0693597393817544,0.592603036516135,"type_2"
"4270","TMEM43","Transmembrane protein 43",0.0692105548528801,0.492611414268953,"type_2"
"4271","ATG3","Ubiquitin-like-conjugating enzyme ATG3",0.06906410956352,0.562823226103673,"type_2"
"4272","USP24","Ubiquitin carboxyl-terminal hydrolase 24",0.068659091491817,0.532921601536075,"type_2"
"4273","CSNK2B","Casein kinase II subunit beta",0.068389982381861,0.481783195572934,"type_2"
"4274","BLVRB","Flavin reductase (NADPH)",0.0680718043662427,0.464628978781797,"type_2"
"4275","HSPB6","Heat shock protein beta-6",0.0680626486066664,0.54299761457525,"type_2"
"4276","NDUFB4","NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 4",0.0676468724982833,0.554750892908189,"type_2"
"4277","MTHFD1","C-1-tetrahydrofolate synthase, cytoplasmic",0.0669363678638,0.383239774297309,"type_2"
"4278","SOD1","Superoxide dismutase [Cu-Zn]",0.0666602451267515,0.471425862549066,"type_2"
"4279","DYNC1LI1","Cytoplasmic dynein 1 light intermediate chain 1",0.0664977679285244,0.472559915211821,"type_2"
"4280","DDX17","Probable ATP-dependent RNA helicase DDX17",0.0664669030362752,0.490572633810512,"type_2"
"4281","PRDX6","Peroxiredoxin-6",0.0661858963644946,0.513753585383069,"type_2"
"4282","ESYT1","Extended synaptotagmin-1",0.0659413362442649,0.4839100086539,"type_2"
"4283","GTPBP3","tRNA modification GTPase GTPBP3, mitochondrial",0.0659015273328301,0.523300330048877,"type_2"
"4284","S100A4","Protein S100-A4",0.0657929036801228,0.551350511586801,"type_2"
"4285","KPNA6","Importin subunit alpha-7",0.0656270201465841,0.545774592876621,"type_2"
"4286","RTN4","Reticulon-4",0.0655616662396952,0.483638264262617,"type_2"
"4287","ACADSB","Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial",0.0654433080606847,0.553818168621939,"type_2"
"4288","RABGGTA","Geranylgeranyl transferase type-2 subunit alpha",0.0652717444137121,0.46490206006821,"type_2"
"4289","ENO1","Alpha-enolase",0.0651977621481414,0.459294978958804,"type_2"
"4290","BDH1","D-beta-hydroxybutyrate dehydrogenase, mitochondrial",0.0651921491070446,0.575678857413751,"type_2"
"4291","XRCC6","X-ray repair cross-complementing protein 6",0.065113038929983,0.490572633810512,"type_2"
"4292","RAB4A","Ras-related protein Rab-4A",0.0649906805235272,0.492979511653842,"type_2"
"4293","RPRD1B","Regulation of nuclear pre-mRNA domain-containing protein 1B",0.0648906989789992,0.540738827455209,"type_2"
"4294","CALD1","Caldesmon",0.0647971368986813,0.539451550747196,"type_2"
"4295","ALDH1B1","Aldehyde dehydrogenase X, mitochondrial",0.0647269753682043,0.586419886405649,"type_2"
"4296","MYH9","Myosin-9",0.0647181557158394,0.478151463054504,"type_2"
"4297","NPM1","Nucleophosmin",0.0644965055856606,0.469346695060035,"type_2"
"4298","CISD2","CDGSH iron-sulfur domain-containing protein 2",0.064265080600137,0.596018399999197,"type_2"
"4299","CARS2","Probable cysteine--tRNA ligase, mitochondrial",0.0633547230776479,0.520126900396275,"type_2"
"4300","HSD17B4","Peroxisomal multifunctional enzyme type 2",0.063353325133841,0.469346695060035,"type_2"
"4301","APRT","Adenine phosphoribosyltransferase",0.0633005271292415,0.531464713685133,"type_2"
"4302","DAG1","Dystroglycan 1",0.0631223204346458,0.477509073774436,"type_2"
"4303","PUF60","Poly(U)-binding-splicing factor PUF60",0.06250593468428,0.527636514867449,"type_2"
"4304","PRCP","Lysosomal Pro-X carboxypeptidase",0.062302523429052,0.576879356893968,"type_2"
"4305","DDB1","DNA damage-binding protein 1",0.0621855133937359,0.458756001034722,"type_2"
"4306","NPTN","Neuroplastin",0.0620206863931561,0.595917895808322,"type_2"
"4307","ATOX1","Copper transport protein ATOX1",0.0618306489878346,0.499101894164065,"type_2"
"4308","HBS1L","HBS1-like protein",0.0615568997630955,0.611319702693725,"type_2"
"4309","PANK4","4'-phosphopantetheine phosphatase",0.0615404329220404,0.432062280208639,"type_2"
"4310","DNPH1","2'-deoxynucleoside 5'-phosphate N-hydrolase 1",0.0614818229014169,0.506822937981327,"type_2"
"4311","CPT2","Carnitine O-palmitoyltransferase 2, mitochondrial",0.0614741951977766,0.534935723093855,"type_2"
"4312","PFDN1","Prefoldin subunit 1",0.0613724153305686,0.46490206006821,"type_2"
"4313","AGK","Acylglycerol kinase, mitochondrial",0.0611889910735073,0.522778872834755,"type_2"
"4314","PRKAA2","5'-AMP-activated protein kinase catalytic subunit alpha-2",0.0611752213034702,0.444973427820681,"type_2"
"4315","BRCC3","Lys-63-specific deubiquitinase BRCC36",0.0611534734315917,0.568887235524877,"type_2"
"4316","RPS21","40S ribosomal protein S21",0.0611176923699617,0.464588657108138,"type_2"
"4317","NAA50","N-alpha-acetyltransferase 50",0.0610531264425358,0.477509073774436,"type_2"
"4318","RIC8A","Synembryn-A",0.0609147474434497,0.542758011318299,"type_2"
"4319","PFDN2","Prefoldin subunit 2",0.060863502105418,0.469975220829685,"type_2"
"4320","TRAPPC3","Trafficking protein particle complex subunit 3",0.0608296746089891,0.534935723093855,"type_2"
"4321","DHRS7C","Dehydrogenase/reductase SDR family member 7C",0.0606092466029704,0.538934430211001,"type_2"
"4322","RAB18","Ras-related protein Rab-18",0.0605870871907364,0.540738827455209,"type_2"
"4323","MT-CO2","Cytochrome c oxidase subunit 2",0.0605312208690236,0.564634843188978,"type_2"
"4324","TRDN","Triadin",0.0599220410650023,0.592427452377629,"type_2"
"4325","ACAT2","Acetyl-CoA acetyltransferase, cytosolic",0.0596806428826326,0.570899235392745,"type_2"
"4326","CHCHD7","Coiled-coil-helix-coiled-coil-helix domain-containing protein 7",0.0594888075323006,0.617390485349019,"type_2"
"4327","DHRS7","Dehydrogenase/reductase SDR family member 7",0.0593952549701111,0.523300330048877,"type_2"
"4328","MLIP","Muscular LMNA-interacting protein",0.0592672857444825,0.532921601536075,"type_2"
"4329","MFAP4","Microfibril-associated glycoprotein 4",0.0592598144331742,0.600555981579072,"type_2"
"4330","PTER","Phosphotriesterase-related protein",0.0591362930146957,0.618132323860328,"type_2"
"4331","MYH10","Myosin-10",0.0591295481105707,0.491334668321953,"type_2"
"4332","EIF2A","Eukaryotic translation initiation factor 2A",0.0590975734071435,0.534113356233069,"type_2"
"4333","MMAB","Corrinoid adenosyltransferase MMAB",0.0589374077925573,0.572961541332629,"type_2"
"4334","ZYG11B","Protein zyg-11 homolog B",0.0587654291986475,0.578260571140406,"type_2"
"4335","SNX6","Sorting nexin-6",0.0584669541436078,0.572961541332629,"type_2"
"4336","OCIAD1","OCIA domain-containing protein 1",0.0584102672405162,0.499018681165908,"type_2"
"4337","MYL11","Myosin regulatory light chain 11",0.0583774561834076,0.500367815145467,"type_2"
"4338","PPP6C","Serine/threonine-protein phosphatase 6 catalytic subunit",0.0576281304653552,0.587968297072971,"type_2"
"4339","AARS1","Alanine--tRNA ligase, cytoplasmic",0.0575983160995772,0.459436952471676,"type_2"
"4340","VCAN","Versican core protein",0.0572249759461769,0.589465079078153,"type_2"
"4341","QRSL1","Glutamyl-tRNA(Gln) amidotransferase subunit A, mitochondrial",0.057154949196967,0.580048931869113,"type_2"
"4342","SCO1","Protein SCO1 homolog, mitochondrial",0.0570269083291137,0.545774592876621,"type_2"
"4343","VWA8","von Willebrand factor A domain-containing protein 8",0.0569063685724682,0.569716319425579,"type_2"
"4344","PCBD1","Pterin-4-alpha-carbinolamine dehydratase",0.0568092099010666,0.539571337672145,"type_2"
"4345","UBA6","Ubiquitin-like modifier-activating enzyme 6",0.0567232796675814,0.553818168621939,"type_2"
"4346","MRPS35","28S ribosomal protein S35, mitochondrial",0.0566214240387151,0.540738827455209,"type_2"
"4347","PLAA","Phospholipase A-2-activating protein",0.0560010112922136,0.464628978781797,"type_2"
"4348","C4orf54","Uncharacterized protein C4orf54",0.0559312152059057,0.573491561094798,"type_2"
"4349","MRPS22","28S ribosomal protein S22, mitochondrial",0.0556071311221338,0.575481298631191,"type_2"
"4350","STOM","Stomatin",0.0554660396813293,0.571498025163869,"type_2"
"4351","ATAD1","Outer mitochondrial transmembrane helix translocase",0.0553961141117476,0.551350511586801,"type_2"
"4352","PPIB","Peptidyl-prolyl cis-trans isomerase B",0.054961389034256,0.539571337672145,"type_2"
"4353","ASAH1","Acid ceramidase",0.0548249592864192,0.556319483628933,"type_2"
"4354","MYL6","Myosin light polypeptide 6",0.0546224674452542,0.477509073774436,"type_2"
"4355","NMNAT1","Nicotinamide/nicotinic acid mononucleotide adenylyltransferase 1",0.0542724711188196,0.600943731994614,"type_2"
"4356","RABEP1","Rab GTPase-binding effector protein 1",0.0541278117357695,0.557473346411273,"type_2"
"4357","HYPK","Huntingtin-interacting protein K",0.0540606584426477,0.586865349344289,"type_2"
"4358","TUBB","Tubulin beta chain",0.0538317478068144,0.529953722808338,"type_2"
"4359","MYL4","Myosin light chain 4",0.0534133636262606,0.602655265477252,"type_2"
"4360","VAC14","Protein VAC14 homolog",0.0532952194452943,0.555763147309027,"type_2"
"4361","MRPS27","28S ribosomal protein S27, mitochondrial",0.0530696392940779,0.555902589679762,"type_2"
"4362","CMBL","Carboxymethylenebutenolidase homolog",0.0523991336826093,0.533768599187082,"type_2"
"4363","MTM1","Myotubularin",0.0523374621613346,0.520584589178856,"type_2"
"4364","TCAP","Telethonin",0.0523169954628244,0.537481550937905,"type_2"
"4365","ACTR1A","Alpha-centractin",0.0521166169921496,0.523300330048877,"type_2"
"4366","RPS27L","40S ribosomal protein S27-like",0.0520772094084663,0.534935723093855,"type_2"
"4367","NDUFA9","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9, mitochondrial",0.0519039583607359,0.572961541332629,"type_2"
"4368","LASP1","LIM and SH3 domain protein 1",0.051891713350356,0.555902589679762,"type_2"
"4369","RPS4X","40S ribosomal protein S4, X isoform",0.0515630342978675,0.51500686004579,"type_2"
"4370","CAVIN4","Caveolae-associated protein 4",0.0510193718628074,0.540671465226644,"type_2"
"4371","NUTF2","Nuclear transport factor 2",0.0506221149764929,0.529953722808338,"type_2"
"4372","NDUFA1","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 1",0.0497135405000577,0.541998511926537,"type_2"
"4373","SRPRB","Signal recognition particle receptor subunit beta",0.0492842026474243,0.520955067845045,"type_2"
"4374","GFER","FAD-linked sulfhydryl oxidase ALR",0.0492050038009921,0.556278465964536,"type_2"
"4375","CAV1","Caveolin-1",0.0488519532921448,0.553175844050747,"type_2"
"4376","RPL14","60S ribosomal protein L14",0.0486626378838171,0.56019966108524,"type_2"
"4377","LUC7L2","Putative RNA-binding protein Luc7-like 2",0.0483141858440916,0.604638042797783,"type_2"
"4378","GRPEL1","GrpE protein homolog 1, mitochondrial",0.0482522595264818,0.532472097757862,"type_2"
"4379","RNF7","RING-box protein 2",0.0480203346303156,0.595917895808322,"type_2"
"4380","PRMT1","Protein arginine N-methyltransferase 1",0.0473983430646143,0.520500855037497,"type_2"
"4381","CCDC28B","Coiled-coil domain-containing protein 28B",0.0471657101333935,0.610229103479408,"type_2"
"4382","SRI","Sorcin",0.0471314603908635,0.539571337672145,"type_2"
"4383","C11orf68","UPF0696 protein C11orf68",0.0470710159312038,0.520536190359728,"type_2"
"4384","ATP6V1A","V-type proton ATPase catalytic subunit A",0.0469886241718278,0.474851395635947,"type_2"
"4385","STX7","Syntaxin-7",0.0469614704024419,0.595917895808322,"type_2"
