"","Gene_name","Description","log2FC_post-pre","q-value","sex","fiber_type"
"9452","BROX","BRO1 domain-containing protein BROX",0.0951225562746227,0.547463426246477,"male","type_2"
"9453","NADK2","NAD kinase 2, mitochondrial",0.0951038425676511,0.429460009124913,"male","type_2"
"9454","PEA15","Astrocytic phosphoprotein PEA-15",0.0949728247173738,0.463986424969271,"male","type_2"
"9455","CAND1","Cullin-associated NEDD8-dissociated protein 1",0.0949375558438188,0.408887059504116,"male","type_2"
"9456","ATP6V1D","V-type proton ATPase subunit D",0.0948329686445568,0.55261957998206,"male","type_2"
"9457","RTCB","RNA-splicing ligase RtcB homolog",0.094743279882179,0.227750595095557,"male","type_2"
"9458","FNTA","Protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha",0.0943957686510331,0.387897038095035,"male","type_2"
"9459","SSR4","Translocon-associated protein subunit delta",0.0943017041316558,0.454943558280496,"male","type_2"
"9460","FKBP2","Peptidyl-prolyl cis-trans isomerase FKBP2",0.0942202871451983,0.398642540360683,"male","type_2"
"9461","MSRB2","Methionine-R-sulfoxide reductase B2, mitochondrial",0.0942050822658125,0.378087670154153,"male","type_2"
"9462","HCCS","Holocytochrome c-type synthase",0.0941421520256469,0.527342872507105,"male","type_2"
"9463","RRAGA","Ras-related GTP-binding protein A",0.094063574169823,0.379744328064761,"male","type_2"
"9464","COX5A","Cytochrome c oxidase subunit 5A, mitochondrial",0.0940309639698285,0.409468469913024,"male","type_2"
"9465","ACTR1A","Alpha-centractin",0.0940217914133772,0.344057855126588,"male","type_2"
"9466","PSMD12","26S proteasome non-ATPase regulatory subunit 12",0.093896640858171,0.301744569344352,"male","type_2"
"9467","OSBPL6","Oxysterol-binding protein-related protein 6",0.0938114022064038,0.476558680793624,"male","type_2"
"9468","NMRK1","Nicotinamide riboside kinase 1",0.0936654243415962,0.528151663728337,"male","type_2"
"9469","RUVBL1","RuvB-like 1",0.0935825285842853,0.273119916382943,"male","type_2"
"9470","ERP29","Endoplasmic reticulum resident protein 29",0.0935708420120207,0.508299224790816,"male","type_2"
"9471","ANXA6","Annexin A6",0.0931667612970308,0.212867733092299,"male","type_2"
"9472","KCMF1","E3 ubiquitin-protein ligase KCMF1",0.0929601281565891,0.602940522866185,"male","type_2"
"9473","CNP","2',3'-cyclic-nucleotide 3'-phosphodiesterase",0.0927659629401205,0.498355586300571,"male","type_2"
"9474","ACO2","Aconitate hydratase, mitochondrial",0.0919745605519502,0.362063561449877,"male","type_2"
"9475","PADI2","Protein-arginine deiminase type-2",0.0919740780171523,0.421890498714857,"male","type_2"
"9476","AIFM1","Apoptosis-inducing factor 1, mitochondrial",0.0918284562739782,0.348151491095219,"male","type_2"
"9477","NDUFAB1","Acyl carrier protein, mitochondrial",0.0918000387268876,0.464064373052518,"male","type_2"
"9478","MTX2","Metaxin-2",0.0916812982436408,0.346675666915018,"male","type_2"
"9479","PGRMC2","Membrane-associated progesterone receptor component 2",0.0915384980599718,0.434224111333726,"male","type_2"
"9480","ISOC2","Isochorismatase domain-containing protein 2",0.0914977136742419,0.379744328064761,"male","type_2"
"9481","STAT1","Signal transducer and activator of transcription 1-alpha/beta",0.0913009487815533,0.464064373052518,"male","type_2"
"9482","FGGY","FGGY carbohydrate kinase domain-containing protein",0.0912792049598483,0.599755582021094,"male","type_2"
"9483","ATP5ME","ATP synthase subunit e, mitochondrial",0.0911467658990368,0.497055924144702,"male","type_2"
"9484","PHKA1","Phosphorylase b kinase regulatory subunit alpha, skeletal muscle isoform",0.0910442873978994,0.400492837537985,"male","type_2"
"9485","PHKG1","Phosphorylase b kinase gamma catalytic chain, skeletal muscle/heart isoform",0.0910290023874687,0.402781308307393,"male","type_2"
"9486","ARL6IP5","PRA1 family protein 3",0.0909775791498451,0.451796623167432,"male","type_2"
"9487","PPT1","Palmitoyl-protein thioesterase 1",0.0908312188843663,0.634237559230483,"male","type_2"
"9488","ADRM1","Proteasomal ubiquitin receptor ADRM1",0.0906507326655461,0.503504318819914,"male","type_2"
"9489","MIF","Macrophage migration inhibitory factor",0.0905119208182334,0.34530965578406,"male","type_2"
"9490","MAPK1","Mitogen-activated protein kinase 1",0.0904786158606736,0.31040449907335,"male","type_2"
"9491","SYNCRIP","Heterogeneous nuclear ribonucleoprotein Q",0.0904337091509131,0.399151336642589,"male","type_2"
"9492","STK38L","Serine/threonine-protein kinase 38-like",0.0903220337234139,0.439892955924232,"male","type_2"
"9493","SNX1","Sorting nexin-1",0.0902592637511752,0.58218039566983,"male","type_2"
"9494","RPS15A","40S ribosomal protein S15a",0.0902051286297567,0.408887059504116,"male","type_2"
"9495","KTN1","Kinectin",0.0901412522188565,0.365440510198129,"male","type_2"
"9496","RDH14","Retinol dehydrogenase 14",0.090069699108497,0.49348338025835,"male","type_2"
"9497","ACTB","Actin, cytoplasmic 1",0.0898868004487419,0.356096414495147,"male","type_2"
"9498","FKBP4","Peptidyl-prolyl cis-trans isomerase FKBP4",0.0897641980093749,0.44976527796593,"male","type_2"
"9499","LRRFIP1","Leucine-rich repeat flightless-interacting protein 1",0.0896727844931409,0.497734307365237,"male","type_2"
"9500","FXN","Frataxin, mitochondrial",0.0895609372697468,0.377396537304131,"male","type_2"
"9501","MYH11","Myosin-11",0.0895513180515053,0.608427671667656,"male","type_2"
"9502","ANXA5","Annexin A5",0.0894997666847406,0.481526939305887,"male","type_2"
"9503","CNDP2","Cytosolic non-specific dipeptidase",0.0894095625694629,0.352988184745326,"male","type_2"
"9504","PAK2","Serine/threonine-protein kinase PAK 2",0.089301370495086,0.48037358534614,"male","type_2"
"9505","PSMD5","26S proteasome non-ATPase regulatory subunit 5",0.0892347425835087,0.521766510355648,"male","type_2"
"9506","GART","Trifunctional purine biosynthetic protein adenosine-3",0.0886483638643902,0.360978268226849,"male","type_2"
"9507","ATP5F1C","ATP synthase subunit gamma, mitochondrial",0.0883873081897661,0.473892495846741,"male","type_2"
"9508","CAVIN1","Caveolae-associated protein 1",0.0882285491303563,0.472086076915851,"male","type_2"
"9509","BTF3","Transcription factor BTF3",0.0881599419694901,0.610516701816929,"male","type_2"
"9510","RALY","RNA-binding protein Raly",0.0881431100519485,0.494177394871063,"male","type_2"
"9511","NDUFAF7","Protein arginine methyltransferase NDUFAF7, mitochondrial",0.0880801241637279,0.521766510355648,"male","type_2"
"9512","RAB7A","Ras-related protein Rab-7a",0.0879372353601777,0.426018525613852,"male","type_2"
"9513","UBE4A","Ubiquitin conjugation factor E4 A",0.0878850697155027,0.526220174565545,"male","type_2"
"9514","LACTB2","Endoribonuclease LACTB2",0.0876542879077959,0.562429680598648,"male","type_2"
"9515","TRIM63","E3 ubiquitin-protein ligase TRIM63",0.0876352441172781,0.536943095716178,"male","type_2"
"9516","MECR","Enoyl-[acyl-carrier-protein] reductase, mitochondrial",0.0875811263868389,0.429178303874815,"male","type_2"
"9517","DDB1","DNA damage-binding protein 1",0.0875796921141738,0.347020980889024,"male","type_2"
"9518","PCNP","PEST proteolytic signal-containing nuclear protein",0.0870893885650315,0.560940589258006,"male","type_2"
"9519","DSTN","Destrin",0.0870484424301754,0.485410726900132,"male","type_2"
"9520","ACAA2","3-ketoacyl-CoA thiolase, mitochondrial",0.0870432616250802,0.454888829721886,"male","type_2"
"9521","FSD2","Fibronectin type III and SPRY domain-containing protein 2",0.0867794117651961,0.299912779998375,"male","type_2"
"9522","RPL13","60S ribosomal protein L13",0.086732503195897,0.508573439869691,"male","type_2"
"9523","GRPEL1","GrpE protein homolog 1, mitochondrial",0.0866406199592316,0.451691488552594,"male","type_2"
"9524","MLIP","Muscular LMNA-interacting protein",0.0862811996563053,0.429178303874815,"male","type_2"
"9525","PPP6R1","Serine/threonine-protein phosphatase 6 regulatory subunit 1",0.0862029264138879,0.573182892727049,"male","type_2"
"9526","ATOX1","Copper transport protein ATOX1",0.0861847766780457,0.441487156088014,"male","type_2"
"9527","MRPS10","28S ribosomal protein S10, mitochondrial",0.0861483864415682,0.599755582021094,"male","type_2"
"9528","RPL15","60S ribosomal protein L15",0.0860999291497127,0.541574890929313,"male","type_2"
"9529","ATP6V1G1","V-type proton ATPase subunit G 1",0.0859410221239116,0.51203240668222,"male","type_2"
"9530","MRPL38","39S ribosomal protein L38, mitochondrial",0.0857948251575902,0.474633447138453,"male","type_2"
"9531","SERPINA1","Alpha-1-antitrypsin",0.0857900273280912,0.515160408000787,"male","type_2"
"9532","MT-ND5","NADH-ubiquinone oxidoreductase chain 5",0.0856775032797845,0.599755582021094,"male","type_2"
"9533","RAB35","Ras-related protein Rab-35",0.0854910195390595,0.54350681010286,"male","type_2"
"9534","HNRNPF","Heterogeneous nuclear ribonucleoprotein F",0.0844516284868373,0.430206156232777,"male","type_2"
"9535","NID1","Nidogen-1",0.084168094070673,0.353693529040822,"male","type_2"
"9536","PRPF19","Pre-mRNA-processing factor 19",0.0839706435308134,0.606001112239048,"male","type_2"
"9537","CMA1","Chymase",0.0839513480737697,0.602940522866185,"male","type_2"
"9538","PRDX5","Peroxiredoxin-5, mitochondrial",0.0839209451369065,0.423721370479354,"male","type_2"
"9539","NIT1","Deaminated glutathione amidase",0.0836757972639965,0.377396537304131,"male","type_2"
"9540","AHNAK","Neuroblast differentiation-associated protein AHNAK",0.0836616431467299,0.423721370479354,"male","type_2"
"9541","CRIP1","Cysteine-rich protein 1",0.0836329629122012,0.556689954650719,"male","type_2"
"9542","CORO1C","Coronin-1C",0.0834479139102235,0.49030884004804,"male","type_2"
"9543","CD2AP","CD2-associated protein",0.0833762066622281,0.602940522866185,"male","type_2"
"9544","EIF3E","Eukaryotic translation initiation factor 3 subunit E",0.0832449855743036,0.599755582021094,"male","type_2"
"9545","NPLOC4","Nuclear protein localization protein 4 homolog",0.0832039585219331,0.425194378491906,"male","type_2"
"9546","LYPLAL1","Lysophospholipase-like protein 1",0.0824419954757225,0.404557475190613,"male","type_2"
"9547","ACAA1","3-ketoacyl-CoA thiolase, peroxisomal",0.0822828285106603,0.497182650550893,"male","type_2"
"9548","SUCLA2","Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial",0.0822476669982564,0.405442262351733,"male","type_2"
"9549","CTTN","Src substrate cortactin",0.0822073457477472,0.51203240668222,"male","type_2"
"9550","DMAC1","Distal membrane-arm assembly complex protein 1",0.0822071767706607,0.583038457813198,"male","type_2"
"9551","RPA2","Replication protein A 32 kDa subunit",0.082205848056585,0.576134696323752,"male","type_2"
"9552","PHKB","Phosphorylase b kinase regulatory subunit beta",0.0820893308068751,0.454943558280496,"male","type_2"
"9553","ATAD3A","ATPase family AAA domain-containing protein 3A",0.0815883438212861,0.347730345452881,"male","type_2"
"9554","NARS1","Asparagine--tRNA ligase, cytoplasmic",0.081061896904087,0.424315414367381,"male","type_2"
"9555","MYPN","Myopalladin",0.0809482173042948,0.403274667487201,"male","type_2"
"9556","HPX","Hemopexin",0.0809309176175663,0.526803689052708,"male","type_2"
"9557","SEC23IP","SEC23-interacting protein",0.0809009392304745,0.474633447138453,"male","type_2"
"9558","SLC9A3R2","Na(+)/H(+) exchange regulatory cofactor NHE-RF2",0.0808095065944734,0.599755582021094,"male","type_2"
"9559","MRPL50","39S ribosomal protein L50, mitochondrial",0.0807777310259787,0.58218039566983,"male","type_2"
"9560","DAP3","28S ribosomal protein S29, mitochondrial",0.0807296365432109,0.566471645815435,"male","type_2"
"9561","NME2","Nucleoside diphosphate kinase B",0.0806592857995589,0.346675666915018,"male","type_2"
"9562","SKIC8","SKI8 subunit of superkiller complex protein",0.0804771904647907,0.413064634398759,"male","type_2"
"9563","SLC25A42","Mitochondrial coenzyme A transporter SLC25A42",0.0804554647913367,0.570648619039876,"male","type_2"
"9564","LMCD1","LIM and cysteine-rich domains protein 1",0.0804514510238974,0.523432800704493,"male","type_2"
"9565","MT-ATP6","ATP synthase subunit a",0.0801079044764457,0.518453660195854,"male","type_2"
"9566","PDCD6IP","Programmed cell death 6-interacting protein",0.0800287723554369,0.362533712410165,"male","type_2"
"9567","KLC1","Kinesin light chain 1",0.0796057353991966,0.434049231112684,"male","type_2"
"9568","EEF1G","Elongation factor 1-gamma",0.0795215513566063,0.398642540360683,"male","type_2"
"9569","SIRT2","NAD-dependent protein deacetylase sirtuin-2",0.0794607342761875,0.366345734943836,"male","type_2"
"9570","GGA1","ADP-ribosylation factor-binding protein GGA1",0.0793088955964674,0.582494432319417,"male","type_2"
"9571","SCCPDH","Saccharopine dehydrogenase-like oxidoreductase",0.0785517157918605,0.461460260497601,"male","type_2"
"9572","ITGB1BP2","Integrin beta-1-binding protein 2",0.0785379739828613,0.497160388401198,"male","type_2"
"9573","RPL24","60S ribosomal protein L24",0.0784881298382309,0.536943095716178,"male","type_2"
"9574","C4orf54","Uncharacterized protein C4orf54",0.0784504821275576,0.577413447274575,"male","type_2"
"9575","MANF","Mesencephalic astrocyte-derived neurotrophic factor",0.0782944275096238,0.629977687371025,"male","type_2"
"9576","FBLN5","Fibulin-5",0.0781548000307808,0.606001112239048,"male","type_2"
"9577","GET3","ATPase GET3",0.0778426772536651,0.409803524007967,"male","type_2"
"9578","SRP14","Signal recognition particle 14 kDa protein",0.0777423399261252,0.628184392605146,"male","type_2"
"9579","NDUFA13","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13",0.07763213829055,0.48370137055895,"male","type_2"
"9580","PHB1","Prohibitin 1",0.0775476838873406,0.423721370479354,"male","type_2"
"9581","MEMO1","Protein MEMO1",0.0772552673457394,0.481721681946619,"male","type_2"
"9582","GMPR","GMP reductase 1",0.0770904237085723,0.470841459352149,"male","type_2"
"9583","PSMD9","26S proteasome non-ATPase regulatory subunit 9",0.0765517074634001,0.48037358534614,"male","type_2"
"9584","CTNND1","Catenin delta-1",0.0765325456943149,0.589992640799487,"male","type_2"
"9585","MYH9","Myosin-9",0.0761817230284212,0.465483473695013,"male","type_2"
"9586","PALLD","Palladin",0.0760779248034851,0.559309448173995,"male","type_2"
"9587","PDIA3","Protein disulfide-isomerase A3",0.075991383942938,0.341853111968115,"male","type_2"
"9588","MAVS","Mitochondrial antiviral-signaling protein",0.0757510792352374,0.569183754751911,"male","type_2"
"9589","UBQLN1","Ubiquilin-1",0.07553678794633,0.505612909081155,"male","type_2"
"9590","MT-ND4","NADH-ubiquinone oxidoreductase chain 4",0.0754295830403091,0.636897268713042,"male","type_2"
"9591","PPM1B","Protein phosphatase 1B",0.0753099475055485,0.510624438487703,"male","type_2"
"9592","AKR7A2","Aflatoxin B1 aldehyde reductase member 2",0.0750213493000143,0.341853111968115,"male","type_2"
"9593","H2AC8","Histone H2A type 1-B/E",0.0748311162049298,0.571425062346765,"male","type_2"
"9594","SORBS1","Sorbin and SH3 domain-containing protein 1",0.0746012063827308,0.441487156088014,"male","type_2"
"9595","KIFBP","KIF-binding protein",0.0745534433755903,0.587615760916977,"male","type_2"
"9596","CDC5L","Cell division cycle 5-like protein",0.0741849740994809,0.610163483115246,"male","type_2"
"9597","C1QBP","Complement component 1 Q subcomponent-binding protein, mitochondrial",0.0738797898517873,0.511574014191559,"male","type_2"
"9598","ENY2","Transcription and mRNA export factor ENY2",0.0737896715184991,0.461460260497601,"male","type_2"
"9599","NDUFA2","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2",0.0736204428517091,0.547423366031362,"male","type_2"
"9600","VAMP5","Vesicle-associated membrane protein 5",0.073363717075539,0.56655865071378,"male","type_2"
"9601","EIF2B3","Translation initiation factor eIF-2B subunit gamma",0.0732903381123222,0.564023419886203,"male","type_2"
"9602","MAPK3","Mitogen-activated protein kinase 3",0.0730687231749361,0.531036112469285,"male","type_2"
"9603","CLIC5","Chloride intracellular channel protein 5",0.0727944804838323,0.464064373052518,"male","type_2"
"9604","MRI1","Methylthioribose-1-phosphate isomerase",0.0726056242865685,0.559309448173995,"male","type_2"
"9605","ATP5F1A","ATP synthase subunit alpha, mitochondrial",0.072584904390002,0.498564767300337,"male","type_2"
"9606","RDH13","Retinol dehydrogenase 13",0.0724748159525497,0.581380682225342,"male","type_2"
"9607","NOL3","Nucleolar protein 3",0.0722281809301215,0.413064634398759,"male","type_2"
"9608","RPS27L","40S ribosomal protein S27-like",0.0720212130647759,0.511574014191559,"male","type_2"
"9609","SDR39U1","Epimerase family protein SDR39U1",0.071888205733778,0.560940589258006,"male","type_2"
"9610","MDH2","Malate dehydrogenase, mitochondrial",0.0718618548237515,0.454980425013563,"male","type_2"
"9611","APEX1","DNA-(apurinic or apyrimidinic site) endonuclease",0.0714474255201125,0.49868309968281,"male","type_2"
"9612","SPG7","Paraplegin",0.0714377999177387,0.405051235226635,"male","type_2"
"9613","HSPA9","Stress-70 protein, mitochondrial",0.0708210565674392,0.454146473374751,"male","type_2"
"9614","USP47","Ubiquitin carboxyl-terminal hydrolase 47",0.0703556813924564,0.532721850281358,"male","type_2"
"9615","DYNLT3","Dynein light chain Tctex-type 3",0.0700518623746405,0.599755582021094,"male","type_2"
"9616","HECTD1","E3 ubiquitin-protein ligase HECTD1",0.0700247543526764,0.527498204709558,"male","type_2"
"9617","TIMM9","Mitochondrial import inner membrane translocase subunit Tim9",0.0697899002501252,0.504351279993881,"male","type_2"
"9618","NDUFS2","NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial",0.0697522724480191,0.388884138373138,"male","type_2"
"9619","EIF2S2","Eukaryotic translation initiation factor 2 subunit 2",0.0697326304843955,0.560940589258006,"male","type_2"
"9620","CS","Citrate synthase, mitochondrial",0.0697191857405421,0.511126656404989,"male","type_2"
"9621","TGM2","Protein-glutamine gamma-glutamyltransferase 2",0.0695270920119562,0.552532100179975,"male","type_2"
"9622","SAMM50","Sorting and assembly machinery component 50 homolog",0.0693965112793649,0.507755550537591,"male","type_2"
"9623","ATPAF2","ATP synthase mitochondrial F1 complex assembly factor 2",0.0692604189711439,0.529916274927501,"male","type_2"
"9624","RASA3","Ras GTPase-activating protein 3",0.0691473961843272,0.614931232967036,"male","type_2"
"9625","COPB1","Coatomer subunit beta",0.06914694181207,0.512570380556776,"male","type_2"
"9626","EEF1A2","Elongation factor 1-alpha 2",0.0690689632613122,0.447490258274641,"male","type_2"
"9627","TMED7","Transmembrane emp24 domain-containing protein 7",0.0689216006041971,0.560940589258006,"male","type_2"
"9628","RMDN1","Regulator of microtubule dynamics protein 1",0.0686668976806377,0.579333752414087,"male","type_2"
"9629","CLASP1","CLIP-associating protein 1",0.0683318298489723,0.600017914014545,"male","type_2"
"9630","BCAM","Basal cell adhesion molecule",0.068244286301459,0.523809032306862,"male","type_2"
"9631","LYPLA2","Acyl-protein thioesterase 2",0.0680456495641586,0.541929398826243,"male","type_2"
"9632","H2BC12","Histone H2B type 1-K",0.0676263076111834,0.577932482481312,"male","type_2"
"9633","RPS27A","Ubiquitin-40S ribosomal protein S27a",0.0673344078587803,0.52775210547178,"male","type_2"
"9634","HSPA4","Heat shock 70 kDa protein 4",0.0669637127332283,0.365091519048835,"male","type_2"
"9635","APRT","Adenine phosphoribosyltransferase",0.0668699886909323,0.556689954650719,"male","type_2"
"9636","HARS1","Histidine--tRNA ligase, cytoplasmic",0.0665861605270539,0.425212870236228,"male","type_2"
"9637","TBCEL","Tubulin-specific chaperone cofactor E-like protein",0.0665797778535193,0.647948336059582,"male","type_2"
"9638","NCK2","Cytoplasmic protein NCK2",0.0664977721471285,0.606615633538038,"male","type_2"
"9639","MTARC2","Mitochondrial amidoxime reducing component 2",0.0661208600091392,0.564269272170333,"male","type_2"
"9640","PLIN3","Perilipin-3",0.0659722415955581,0.49104622102989,"male","type_2"
"9641","NDUFA9","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9, mitochondrial",0.0657129541108823,0.560940589258006,"male","type_2"
"9642","RPS14","40S ribosomal protein S14",0.0654743037835974,0.569987740017392,"male","type_2"
"9643","NDUFA11","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 11",0.0654046808478235,0.58787826152705,"male","type_2"
"9644","CPOX","Oxygen-dependent coproporphyrinogen-III oxidase, mitochondrial",0.0653419468209417,0.589992640799487,"male","type_2"
"9645","ATP5MJ","ATP synthase subunit ATP5MJ, mitochondrial",0.065054767708661,0.654419037254244,"male","type_2"
"9646","TAF15","TATA-binding protein-associated factor 2N",0.0646632721322273,0.535052573681971,"male","type_2"
"9647","CIAPIN1","Anamorsin",0.0646493927295158,0.535486917149593,"male","type_2"
"9648","PTPN11","Tyrosine-protein phosphatase non-receptor type 11",0.0641564255507738,0.499844230004535,"male","type_2"
"9649","SLC27A1","Long-chain fatty acid transport protein 1",0.0641122562355285,0.568302608621651,"male","type_2"
"9650","S100A7","Protein S100-A7",0.0640897968554928,0.680528470011095,"male","type_2"
"9651","ACACB","Acetyl-CoA carboxylase 2",0.0640273343512892,0.513992935326342,"male","type_2"
"9652","CLNS1A","Methylosome subunit pICln",0.0634263657697627,0.550790758231435,"male","type_2"
"9653","PET117","Protein PET117 homolog, mitochondrial",0.0633526040912713,0.614005907133986,"male","type_2"
"9654","KPNB1","Importin subunit beta-1",0.0628481749342953,0.417722661949434,"male","type_2"
"9655","STARD7","StAR-related lipid transfer protein 7, mitochondrial",0.0626398672821313,0.581380682225342,"male","type_2"
"9656","ELAVL1","ELAV-like protein 1",0.0625062654381701,0.533682541347018,"male","type_2"
"9657","BIN1","Myc box-dependent-interacting protein 1",0.0624238795031751,0.511574014191559,"male","type_2"
"9658","HARS2","Histidine--tRNA ligase, mitochondrial",0.0620752416204109,0.599768666383319,"male","type_2"
"9659","PPA1","Inorganic pyrophosphatase",0.0619442789465481,0.526419420511798,"male","type_2"
"9660","UFD1","Ubiquitin recognition factor in ER-associated degradation protein 1",0.0618986607280565,0.58218039566983,"male","type_2"
"9661","LIMS1","LIM and senescent cell antigen-like-containing domain protein 1",0.0618636833307971,0.53500476785905,"male","type_2"
"9662","S100A9","Protein S100-A9",0.0618533463577737,0.680528470011095,"male","type_2"
"9663","CCT6A","T-complex protein 1 subunit zeta",0.0618307957831714,0.465163439117881,"male","type_2"
"9664","FLII","Protein flightless-1 homolog",0.0618190506323106,0.570648619039876,"male","type_2"
"9665","RAB14","Ras-related protein Rab-14",0.0617567181602219,0.464064373052518,"male","type_2"
"9666","RPS6KA6","Ribosomal protein S6 kinase alpha-6",0.0617382806138558,0.654044583339551,"male","type_2"
"9667","SMYD2","N-lysine methyltransferase SMYD2",0.0614003492360418,0.579333752414087,"male","type_2"
"9668","CYB5B","Cytochrome b5 type B",0.0613441673226394,0.476172962486865,"male","type_2"
"9669","EEF1D","Elongation factor 1-delta",0.0611010591709977,0.477591969587521,"male","type_2"
"9670","PRKAG1","5'-AMP-activated protein kinase subunit gamma-1",0.0610929895306942,0.52486997999137,"male","type_2"
"9671","CAV1","Caveolin-1",0.0609362084901139,0.578979719686209,"male","type_2"
"9672","NDUFS1","NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial",0.0607269526619305,0.480324907298617,"male","type_2"
"9673","IBA57","Putative transferase CAF17, mitochondrial",0.0604580578267893,0.497427893137881,"male","type_2"
"9674","CCT4","T-complex protein 1 subunit delta",0.0603978000031482,0.542547473447557,"male","type_2"
"9675","COX7A1","Cytochrome c oxidase subunit 7A1, mitochondrial",0.0603744758339815,0.581380682225342,"male","type_2"
"9676","SSBP1","Single-stranded DNA-binding protein, mitochondrial",0.0603050483753336,0.518453660195854,"male","type_2"
"9677","ABHD5","1-acylglycerol-3-phosphate O-acyltransferase ABHD5",0.0602390954590479,0.612491439731868,"male","type_2"
"9678","NME1","Nucleoside diphosphate kinase A",0.0602180552635776,0.574892274924398,"male","type_2"
"9679","DNM2","Dynamin-2",0.0597383213318903,0.434049231112684,"male","type_2"
"9680","KPNA4","Importin subunit alpha-3",0.0597178527610716,0.49348338025835,"male","type_2"
"9681","RAP1A","Ras-related protein Rap-1A",0.0590851217375672,0.494177394871063,"male","type_2"
"9682","CCDC90B","Coiled-coil domain-containing protein 90B, mitochondrial",0.0590560507401445,0.589992640799487,"male","type_2"
"9683","ATP5F1D","ATP synthase subunit delta, mitochondrial",0.0588871665461745,0.568302608621651,"male","type_2"
"9684","UBE2G2","Ubiquitin-conjugating enzyme E2 G2",0.0588147519466453,0.582494432319417,"male","type_2"
"9685","COA6","Cytochrome c oxidase assembly factor 6 homolog",0.058771160743099,0.514881823665079,"male","type_2"
"9686","NID2","Nidogen-2",0.0587668507926011,0.51203240668222,"male","type_2"
"9687","USP19","Ubiquitin carboxyl-terminal hydrolase 19",0.0586549902465396,0.640237330733265,"male","type_2"
"9688","TST","Thiosulfate sulfurtransferase",0.0585294973197144,0.550790758231435,"male","type_2"
"9689","VCL","Vinculin",0.058469924077647,0.49030884004804,"male","type_2"
"9690","MRPL45","39S ribosomal protein L45, mitochondrial",0.0584077525553575,0.582494432319417,"male","type_2"
"9691","PITPNB","Phosphatidylinositol transfer protein beta isoform",0.058381506587672,0.588171726082609,"male","type_2"
"9692","MYH14","Myosin-14",0.0576849454295996,0.519984420080379,"male","type_2"
"9693","RPL10","60S ribosomal protein L10",0.0574285617955432,0.589696873825482,"male","type_2"
"9694","SF3B1","Splicing factor 3B subunit 1",0.0573610356487411,0.569282780819631,"male","type_2"
"9695","RPS20","40S ribosomal protein S20",0.0573397504289161,0.567548619105189,"male","type_2"
"9696","QKI","KH domain-containing RNA-binding protein QKI",0.0572284597836585,0.612491439731868,"male","type_2"
"9697","TFG","Protein TFG",0.05722102459751,0.586319695252477,"male","type_2"
"9698","TTLL12","Tubulin--tyrosine ligase-like protein 12",0.0571860686525465,0.54174377103178,"male","type_2"
"9699","GRHPR","Glyoxylate reductase/hydroxypyruvate reductase",0.0571074477434266,0.476172962486865,"male","type_2"
"9700","VWA8","von Willebrand factor A domain-containing protein 8",0.0570995086172399,0.598154930252375,"male","type_2"
"9701","SVIL","Supervillin",0.0570771194372188,0.518453660195854,"male","type_2"
"9702","APOA4","Apolipoprotein A-IV",0.0570102640994783,0.590084482514412,"male","type_2"
"9703","SMTNL2","Smoothelin-like protein 2",0.0569142839249803,0.585460554383026,"male","type_2"
"9704","HRAS","GTPase HRas",0.0568957636823981,0.606001112239048,"male","type_2"
"9705","TMEM256","Transmembrane protein 256",0.056857617152156,0.66017880271319,"male","type_2"
"9706","MPC2","Mitochondrial pyruvate carrier 2",0.0567863584835226,0.566471645815435,"male","type_2"
"9707","TOMM22","Mitochondrial import receptor subunit TOM22 homolog",0.0566161866793067,0.586940948222068,"male","type_2"
"9708","SARNP","SAP domain-containing ribonucleoprotein",0.0565379271023509,0.606615633538038,"male","type_2"
"9709","PRPF6","Pre-mRNA-processing factor 6",0.0565154627747422,0.598154930252375,"male","type_2"
"9710","ACADSB","Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial",0.0564884352902162,0.610506844199908,"male","type_2"
"9711","LAMA2","Laminin subunit alpha-2",0.0564172129588183,0.589992640799487,"male","type_2"
"9712","RPS3","40S ribosomal protein S3",0.0563859878469604,0.54350681010286,"male","type_2"
"9713","CAPG","Macrophage-capping protein",0.0563753344430591,0.613924022470914,"male","type_2"
"9714","CYGB","Cytoglobin",0.0563551262353936,0.607426545152836,"male","type_2"
"9715","SDHA","Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial",0.0563414819046635,0.494177394871063,"male","type_2"
"9716","CRYAB","Alpha-crystallin B chain",0.0561062748199106,0.499045625937048,"male","type_2"
"9717","RAB6A","Ras-related protein Rab-6A",0.0560904103129012,0.606001112239048,"male","type_2"
"9718","TMED9","Transmembrane emp24 domain-containing protein 9",0.0558886017239946,0.554735249250738,"male","type_2"
"9719","PCBP1","Poly(rC)-binding protein 1",0.055566402121098,0.494177394871063,"male","type_2"
"9720","OTUD4","OTU domain-containing protein 4",0.0553709968685361,0.635909338543801,"male","type_2"
